India,1417173173
China,1425887337
United States,338289857
Indonesia,275501339
Pakistan,235824862
Nigeria,218541212
Brazil,215313498
Bangladesh,171186372
Russia,144713314
Mexico,127504125
Ethiopia,123379924
Japan,123951692
Philippines,115559009
Egypt,110990103
Democratic Republic of the Congo,99010212
Vietnam,98186856
Iran,88550570
Turkey,85341241
Germany,83369843
Thailand,71697030
United Kingdom,67508936
Tanzania,65497748
France,64626628
South Africa,59893885
Italy,59037474
Kenya,54027487
Myanmar,54179306
Colombia,51874024
South Korea,51815810
Uganda,47249585
Sudan,46874204
Spain,47558630
Argentina,45510318
Algeria,44903225
Iraq,44496122
Afghanistan,41128771
Poland,39857145
Canada,38454327
Morocco,38033957
Saudi Arabia,36408820
Ukraine,39701739
Angola,35588987
Uzbekistan,34627652
Yemen,33696614
Peru,34049588
Malaysia,33938221
Ghana,33475870
Mozambique,32969518
Nepal,30547580
Madagascar,29611714
Côte d'Ivoire,28160542
Venezuela,28301696
Cameroon,27914536
Niger,26207977
Australia,26177413
North Korea,26069416
Taiwan,23893394
Mali,22593590
Burkina Faso,22673762
Syria,22125249
Sri Lanka,21832143
Malawi,20405317
Zambia,20017675
Romania,19659267
Chile,19603733
Kazakhstan,19397998
Chad,17723315
Ecuador,18001000
Somalia,17597511
Guatemala,17843908
Senegal,17316449
Netherlands,17564014
Cambodia,16767842
Zimbabwe,16320537
Guinea,13859341
Rwanda,13776698
Benin,13352864
Burundi,12889576
Tunisia,12356117
Bolivia,12224110
Haiti,11584996
Belgium,11655930
Jordan,11285869
Dominican Republic,11228821
Cuba,11212191
South Sudan,10913164
Sweden,10549347
Honduras,10432860
Czechia,10493986
Azerbaijan,10358074
Greece,10384971
Papua New Guinea,10142619
Portugal,10270865
Hungary,9967308
Tajikistan,9952787
United Arab Emirates,9441129
Belarus,9534954
Israel,9038309
Togo,8848699
Austria,8939617
Switzerland,8740472
Sierra Leone,8605718
Laos,7529475
Hong Kong,7488865
Serbia,7221365
Nicaragua,6948392
Libya,6812341
Paraguay,6780744
Kyrgyzstan,6630623
Bulgaria,6781953
Turkmenistan,6430770
El Salvador,6336392
Republic of the Congo,5970424
Singapore,5975689
Denmark,5882261
Slovakia,5643453
Central African Republic,5579144
Finland,5540745
Norway,5434319
Liberia,5302681
Palestine,5250072
Lebanon,5489739
New Zealand,5185288
Costa Rica,5180829
Ireland,5023109
Mauritania,4736139
Oman,4576298
Panama,4408581
Kuwait,4268873
Croatia,4030358
Eritrea,3684032
Georgia,3744385
Mongolia,3398366
Moldova,3272996
Uruguay,3422794
Puerto Rico,3252407
Bosnia and Herzegovina,3233526
Albania,2842321
Jamaica,2827377
Armenia,2780469
Gambia,2705992
Lithuania,2750055
Qatar,2695122
Botswana,2630296
Namibia,2567012
Gabon,2388992
Lesotho,2305825
Guinea-Bissau,2105566
Slovenia,2119844
Macedonia,2093599
Latvia,1850651
Equatorial Guinea,1674908
Trinidad and Tobago,1531044
Bahrain,1472233
Timor-Leste,1341296
Estonia,1326062
Mauritius,1299469
Cyprus,1251488
Eswatini,1201670
Djibouti,1120849
Reunion,974052
Fiji,929766
Comoros,836774
Guyana,808726
Bhutan,782455
Solomon Islands,724273
Macau,695168
Luxembourg,647599
Montenegro,627082
Suriname,618040
Cabo Verde,593149
Malta,533286
Maldives,523787
Brunei,449002
Bahamas,409984
Belize,405272
Guadeloupe,395752
Iceland,372899
Martinique,367507
Mayotte,326101
Vanuatu,326740
French Guiana,304557
French Polynesia,306279
New Caledonia,289950
Barbados,281635
Sao Tome and Principe,227380
Samoa,222382
Curaçao,191163
Saint Lucia,179857
Guam,171774
Kiribati,131232
Grenada,125438
Federated States of Micronesia,114164
Jersey,110778
Tonga,106858
Seychelles,107118
Aruba,106445
Saint Vincent and the Grenadines,103948
United States Virgin Islands,99465
Antigua and Barbuda,93763
Isle Of Man,84519
Andorra,79824
Dominica,72737
Cayman Islands,68706
Bermuda,64184
Greenland,56466
Faroe Islands,53090
Northern Mariana Islands,49551
Saint Kitts and Nevis,47657
